Generation Model,Embedding Model,Arrival Rate,Top K,Retrieved Doc. Recall@K,Avg. RAG Accuracy,Avg. Queue Latency (s),Avg. Emb. Latency (s),Avg. Ret. Latency (s),Avg. Gen. Latency (s),P99 Latency (s),Throughput (q/s),Avg GPU Power: Embedding (W),Est. GPU Energy Embedding (J),Avg. Energy per Query Embedding (J),Avg GPU Power: Generation (W),Est. GPU Energy Generation (J),Avg. Energy per Query Generation (J),Total Avg. Energy per Query (J)
LLAMA70B,Alibaba-NLP/gte-multilingual-base,2.0,1,0.26666666666666666,0.20666666666666667,0.0003533935546875,0.01777068297068278,0.001402271588643392,8.568926019668579,23.897372064590453,1.6059250464422912,64.6460297239915,6038.204883895983,40.25469922597322,291.8737685774947,109048.83857092886,726.9922571395257,767.2469563654989
LLAMA70B,Snowflake/snowflake-arctic-embed-s,2.0,50,0.6866666666666666,0.30666666666666664,85.77756621042887,0.0262142546971639,0.002735713322957357,55.879504702885946,228.63224447250366,0.5184930597255125,338.4960148849797,97926.8695701089,652.8457971340594,380.08578991880927,439835.1524165333,2932.2343494435554,3585.0801465776153
LLAMA70B,Snowflake/snowflake-arctic-embed-s,2.0,20,0.5266666666666666,0.24666666666666667,21.801823395093283,0.021408135096232097,0.0009941514333089193,25.37975285847982,84.39901655435561,1.0549318571881532,339.7197338935574,48304.5039703877,322.0300264692513,358.36999649859945,203825.48544157698,1358.8365696105132,1680.8665960797643
LLAMA70B,Snowflake/snowflake-arctic-embed-s,2.0,10,0.4,0.22666666666666666,0.08969244003295898,0.019207495053609212,0.0008641672134399414,12.52442926088969,29.39045255422592,1.600434590667351,339.52591792656585,31821.911364555355,212.14607576370236,303.60428725701945,113820.69183986663,758.8046122657776,970.9506880294799
LLAMA70B,Snowflake/snowflake-arctic-embed-s,2.0,5,0.3,0.17333333333333334,0.0009556961059570313,0.018748181660970052,0.0008277670542399089,10.945167495409647,27.63810449361801,1.603787795225902,337.18261702127654,31536.21239901466,210.24141599343108,293.82505319148936,109924.1635580981,732.8277570539873,943.0691730474184
LLAMA70B,Snowflake/snowflake-arctic-embed-s,2.0,3,0.24,0.18666666666666668,0.00038733959197998044,0.018587215741475423,0.000757287343343099,10.10021455446879,25.99703674793243,1.616198234348559,338.32437500000003,31400.019608643655,209.33346405762438,291.8297898706897,108339.35479021884,722.2623652681257,931.5958293257501
LLAMA70B,Snowflake/snowflake-arctic-embed-s,2.0,1,0.12666666666666668,0.10666666666666667,0.0003665431340535482,0.019770094553629557,0.0008370701471964518,8.718255322774251,25.048797543048856,1.7667016263462183,340.2198086124402,28886.015912833693,192.5734394188913,291.65558014354065,99050.8784712191,660.3391898081273,852.9126292270187
LLAMA70B,infly/inf-retriever-v1,2.0,50,0.94,0.42,77.44472059726715,0.08944302876790365,0.004261465072631836,52.23586330095927,213.11785310983655,0.5514183619370685,80.4121490593343,21874.176109276388,145.82784072850924,381.0824439218524,414656.96853092173,2764.3797902061447,2910.207630934654
LLAMA70B,infly/inf-retriever-v1,2.0,20,0.86,0.38666666666666666,21.74510921637217,0.08041056791941324,0.0023932568232218425,25.107251127560932,79.84878834486005,1.0770581991282582,89.51240000000001,12466.234425277426,83.10822950184951,360.31033214285713,200719.14355295704,1338.1276236863803,1421.2358531882298
LLAMA70B,infly/inf-retriever-v1,2.0,10,0.7466666666666667,0.32666666666666666,0.012905656496683756,0.07793951511383057,0.0021581729253133137,11.513982151349385,28.396152803897856,1.6095605521029575,96.20927350427351,8966.044183169013,59.773627887793424,302.38564102564106,112721.0681066562,751.4737873777079,811.2474152655013
LLAMA70B,infly/inf-retriever-v1,2.0,5,0.62,0.28,0.00032306989034016926,0.07916925748189291,0.0021979586283365883,10.56409810702006,27.50601590871811,1.5933074692251643,95.73713375796179,9013.056388091813,60.08704258727875,292.6995966029724,110223.39463907017,734.8226309271345,794.9096735144133
