Generation Model,Embedding Model,Arrival Rate,Top K,Retrieved Doc. Recall@K,Avg. RAG Accuracy,Avg. Queue Latency (s),Avg. Emb. Latency (s),Avg. Ret. Latency (s),Avg. Gen. Latency (s),P99 Latency (s),Throughput (q/s),Avg GPU Power: Embedding (W),Est. GPU Energy Embedding (J),Avg. Energy per Query Embedding (J),Avg GPU Power: Generation (W),Est. GPU Energy Generation (J),Avg. Energy per Query Generation (J),Total Avg. Energy per Query (J)
LLAMA70B,infly/inf-retriever-v1-1.5b,2,3,0.2057,0.2041,0.0003,0.0359,0.0066,0.4993,2.4723,1.9699,61.8374,19839.6938,31.3919,220.2776,282692.4412,447.2982,478.6901
LLAMA70B,intfloat/multilingual-e5-small,2,3,0.1690,0.1741,0.0004,0.0124,0.0099,0.5236,3.6085,1.9650,61.3692,19737.7451,31.2306,218.9052,281619.9911,445.6013,476.8319
LLAMA70B,Snowflake/snowflake-arctic-embed-s,2,3,0.0488,0.1661,0.0004,0.0128,0.0081,0.6060,3.7328,1.9701,61.4553,19714.8643,31.1944,237.3910,304620.3108,481.9942,513.1886
LLAMA70B,infly/inf-retriever-v1-1.5b,3,3,0.2057,0.2041,0.0003,0.0361,0.0054,0.5477,3.5078,2.9532,61.4709,13155.0756,20.8150,276.9089,237039.6385,375.0627,395.8777
LLAMA70B,intfloat/multilingual-e5-small,3,3,0.1690,0.1756,0.0003,0.0118,0.0099,0.6924,3.9936,2.9427,61.8548,13284.5750,21.0199,297.4934,255570.8686,404.3843,425.4042
LLAMA70B,Snowflake/snowflake-arctic-embed-s,3,3,0.0488,0.1661,0.0003,0.0125,0.0279,0.5273,4.1434,2.9537,61.4749,13153.7793,20.8129,268.1476,229502.2195,363.1364,383.9494
LLAMA70B,infly/inf-retriever-v1-1.5b,2,5,0.2562,0.2184,0.0003,0.0345,0.0069,0.8191,5.1757,1.9558,61.7495,19953.3669,31.5718,280.3578,362372.4987,573.3742,604.9460
LLAMA70B,intfloat/multilingual-e5-small,2,5,0.2049,0.1772,0.0003,0.0123,0.0096,0.5649,4.1975,1.9661,61.3989,19736.6705,31.2289,230.5354,296422.4821,469.0229,500.2518
LLAMA70B,Snowflake/snowflake-arctic-embed-s,2,5,0.0659,0.1440,0.0004,0.0124,0.0079,0.4924,2.1869,1.9695,61.4023,19703.1272,31.1758,215.4186,276498.8853,437.4982,468.6741
LLAMA70B,infly/inf-retriever-v1-1.5b,3,5,0.2562,0.2184,0.0003,0.0354,0.0054,0.9834,6.3365,2.9041,61.5110,13386.2475,21.1808,325.8835,283679.7872,448.8604,470.0412
LLAMA70B,intfloat/multilingual-e5-small,3,5,0.2049,0.1788,0.0003,0.0124,0.0097,0.7532,5.3453,2.9442,61.3810,13175.8482,20.8479,305.7127,262493.1004,415.3372,436.1850
LLAMA70B,Snowflake/snowflake-arctic-embed-s,3,5,0.0659,0.1456,0.0003,0.0121,0.0247,0.6664,2.4673,2.9498,61.5129,13179.1661,20.8531,262.3043,224795.1421,355.6885,376.5416
LLAMA70B,infly/inf-retriever-v1-1.5b,6,5,0.2562,0.2184,0.0003,0.0471,0.0066,1.8355,14.3802,4.1322,61.5115,9407.9485,14.8860,349.7638,213980.1617,338.5762,353.4622
LLAMA70B,intfloat/multilingual-e5-small,6,5,0.2049,0.1772,0.0004,0.0141,0.0102,1.0202,7.3801,4.4117,61.8456,8859.6850,14.0185,337.8051,193568.9627,306.2800,320.2985
LLAMA70B,Snowflake/snowflake-arctic-embed-s,6,5,0.0659,0.1456,0.0005,0.0155,0.0095,0.6468,2.8639,4.6481,61.8896,8415.0361,13.3149,315.4007,171538.3481,271.4214,284.7364
LLAMA70B,infly/inf-retriever-v1-1.5b,2,10,0.3213,0.2405,0.0003,0.0351,0.0087,1.4376,11.0487,1.6653,61.7101,23419.9493,37.0569,312.8703,474956.8553,751.5140,788.5709
LLAMA70B,intfloat/multilingual-e5-small,2,10,0.2545,0.1994,0.0003,0.0124,0.0095,0.9207,5.7354,1.9648,61.3734,19741.4348,31.2364,289.9741,373093.4639,590.3378,621.5742
LLAMA70B,Snowflake/snowflake-arctic-embed-s,2,10,0.0865,0.1392,0.0003,0.0119,0.0077,0.4772,3.2577,1.9689,61.4482,19724.4749,31.2096,206.3858,264993.7836,419.2940,450.5036
LLAMA70B,infly/inf-retriever-v1-1.5b,3,10,0.3213,0.2373,0.0003,0.0352,0.0058,2.2526,17.6782,2.2821,61.4850,17027.4285,26.9421,347.1981,384607.0957,608.5555,635.4977
LLAMA70B,intfloat/multilingual-e5-small,3,10,0.2545,0.2009,0.0003,0.0118,0.0109,1.3031,6.4733,2.8321,61.4082,13703.4148,21.6826,332.4571,296754.8585,469.5488,491.2314
LLAMA70B,Snowflake/snowflake-arctic-embed-s,3,10,0.0865,0.1392,0.0003,0.0127,0.0230,0.5422,3.7627,2.9513,61.4346,13155.6319,20.8159,255.9055,219198.8788,346.8337,367.6495
LLAMA70B,infly/inf-retriever-v1-1.5b,6,10,0.3213,0.2437,0.9949,0.0612,0.0060,25.7508,61.6635,2.9549,61.5130,13156.4753,20.8172,366.3956,313460.4675,495.9818,516.7990
LLAMA70B,intfloat/multilingual-e5-small,6,10,0.2545,0.2009,207.9472,1.0619,0.0531,22.8134,271.6112,1.6280,61.5439,23892.2334,37.8042,352.8459,547919.8228,866.9617,904.7659
LLAMA70B,infly/inf-retriever-v1-1.5b,2,20,0.3746,0.2595,0.0004,0.0343,0.0070,7.0970,34.5541,1.7628,61.5052,22051.2304,34.8912,381.6951,547390.5330,866.1243,901.0154
LLAMA70B,intfloat/multilingual-e5-small,2,20,0.2968,0.2120,0.0003,0.0121,0.0097,1.9645,14.3822,1.9093,61.3522,20308.3334,32.1334,347.7627,460455.3530,728.5686,760.7020
LLAMA70B,Snowflake/snowflake-arctic-embed-s,2,20,0.1094,0.1566,0.0004,0.0117,0.0078,0.8911,5.0996,1.9606,61.4098,19795.3762,31.3218,270.7741,349134.9948,552.4288,583.7506
LLAMA70B,infly/inf-retriever-v1-1.5b,3,20,0.3746,0.2642,2.0411,0.0432,0.0059,51.0689,96.5349,1.7724,61.4520,21912.6245,34.6719,382.1210,545028.2359,862.3864,897.0583
LLAMA70B,intfloat/multilingual-e5-small,3,20,0.2968,0.2104,0.0003,0.0114,0.0100,3.6961,34.8006,2.4964,62.0038,15696.8992,24.8369,369.0460,373711.1803,591.3152,616.1520
LLAMA70B,Snowflake/snowflake-arctic-embed-s,3,20,0.1094,0.1566,0.0003,0.0126,0.0134,1.1478,6.0290,2.9156,61.4090,13311.5428,21.0626,328.6127,284931.4214,450.8409,471.9034
LLAMA70B,infly/inf-retriever-v1-1.5b,6,20,0.3746,0.2627,40.8620,0.0481,0.0061,63.7768,198.8174,1.7831,61.5233,21806.0772,34.5033,383.1819,543253.5296,859.5784,894.0817
LLAMA70B,intfloat/multilingual-e5-small,6,20,0.2968,0.2120,6.8033,0.0189,0.0110,33.8807,89.8654,2.6686,61.7344,14620.5706,23.1338,373.2765,353612.4046,559.5133,582.6471
LLAMA70B,Snowflake/snowflake-arctic-embed-s,6,20,0.1094,0.1566,0.0003,0.0144,0.0088,3.8752,26.0731,4.0252,61.8653,9713.4283,15.3693,362.5921,227721.4292,360.3187,375.6881
LLAMA70B,intfloat/multilingual-e5-small,2,50,0.3600,0.2389,1.3974,0.0124,0.0102,72.4417,140.9264,1.2759,61.4570,30440.8038,48.1658,388.1109,768954.9598,1216.7009,1264.8667
LLAMA70B,Snowflake/snowflake-arctic-embed-s,2,50,0.1384,0.1646,0.0003,0.0113,0.0079,2.7738,14.0852,1.9467,61.5330,19976.5875,31.6085,350.5576,455231.7927,720.3035,751.9120
LLAMA70B,intfloat/multilingual-e5-small,3,50,0.3600,0.2405,35.2055,0.0137,0.0161,89.9049,242.0441,1.2778,61.5179,30427.3778,48.1446,388.7681,769155.0099,1217.0174,1265.1620
LLAMA70B,Snowflake/snowflake-arctic-embed-s,3,50,0.1384,0.1630,0.0003,0.0117,0.0137,24.1737,61.1056,2.5152,61.4621,15443.8586,24.4365,394.3058,396316.0022,627.0823,651.5188
LLAMA70B,intfloat/multilingual-e5-small,6,50,0.3600,0.2405,79.8837,0.0160,0.0108,97.1651,347.4012,1.2766,61.8568,30622.6512,48.4536,389.6103,771517.6124,1220.7557,1269.2093
LLAMA70B,Snowflake/snowflake-arctic-embed-s,6,50,0.1384,0.1630,25.5112,0.0207,0.0095,50.3603,140.0390,2.5155,61.8923,15549.8796,24.6042,394.6358,396594.7603,627.5234,652.1276
LLAMA70B,Snowflake/snowflake-arctic-embed-s,2,100,0.1665,0.1835,12.2062,0.0127,0.0086,90.2329,182.2999,1.1537,61.5152,33697.6703,53.3191,388.1197,850439.2850,1345.6318,1398.9509
LLAMA70B,infly/inf-retriever-v1-1.5b,3,100,0.5126,0.3117,404.4870,0.0339,0.0067,382.8629,1534.4862,0.3591,61.5156,108254.8210,171.2893,397.3144,2796766.2663,4425.2631,4596.5524
LLAMA70B,Snowflake/snowflake-arctic-embed-s,3,100,0.1665,0.1851,51.4901,0.0133,0.0124,102.0773,284.7664,1.1569,61.4401,33563.9505,53.1075,388.5849,849116.3819,1343.5386,1396.6461
LLAMA70B,Snowflake/snowflake-arctic-embed-s,6,100,0.1665,0.1851,97.6864,0.0155,0.0094,108.4066,391.9338,1.1544,61.9137,33896.3616,53.6335,388.7223,851267.2828,1346.9419,1400.5754
